,Loan_ID,Gender,Married,Self_Employed,Applicant_Income,education,Principal,terms,effective_date,due_date,age,loan_status
44,1039,female,Yes,No,3667,Bechalor,144000,15,9/11/2016,9/25/2016,24,PAIDOFF
45,1040,male,No,No,4166,High School or Below,147200,7,9/11/2016,9/17/2016,35,PAIDOFF
46,1041,male,No,No,3748,High School or Below,110000,30,9/11/2016,10/10/2016,22,PAIDOFF
47,1042,male,No,No,3600,college,80000,30,9/11/2016,10/10/2016,32,PAIDOFF
49,1043,male,No,No,1800,High School or Below,37600,15,9/11/2016,9/25/2016,50,PAIDOFF
51,1044,female,Yes,No,2400,Bechalor,75000,30,9/11/2016,10/10/2016,35,PAIDOFF
52,1045,female,Yes,No,3941,Bechalor,107200,15,9/11/2016,9/25/2016,35,PAIDOFF
53,1046,male,Yes,Yes,4695,High School or Below,96000,30,9/11/2016,10/10/2016,34,PAIDOFF
54,1047,male,No,No,3410,High School or Below,88000,30,9/11/2016,10/10/2016,21,PAIDOFF
55,1048,male,Yes,No,5649,college,44000,15,9/11/2016,9/25/2016,25,PAIDOFF
56,1049,male,Yes,No,5821,High School or Below,144000,30,9/11/2016,10/10/2016,27,PAIDOFF
57,1050,male,Yes,No,2645,Bechalor,120000,30,9/11/2016,10/10/2016,26,PAIDOFF
58,1051,female,No,No,4000,High School or Below,115200,15,9/11/2016,9/25/2016,44,PAIDOFF
59,1052,male,Yes,No,1928,Master or Above,80000,15,9/11/2016,9/25/2016,39,PAIDOFF
60,1053,male,No,No,3086,Bechalor,120000,30,9/11/2016,10/10/2016,34,PAIDOFF
62,1054,male,No,No,4230,High School or Below,112000,30,9/11/2016,10/10/2016,34,PAIDOFF
63,1055,male,Yes,No,4616,college,134000,30,9/11/2016,10/10/2016,45,PAIDOFF
65,1056,male,Yes,Yes,11500,college,257400,15,9/11/2016,9/25/2016,28,PAIDOFF
66,1057,male,Yes,No,2708,Bechalor,97000,30,9/11/2016,10/10/2016,28,PAIDOFF
67,1058,male,Yes,No,2132,High School or Below,96000,30,9/11/2016,10/10/2016,37,PAIDOFF
69,1059,male,Yes,No,3366,Bechalor,135000,30,9/11/2016,10/10/2016,43,PAIDOFF
70,1060,male,Yes,No,8080,college,144000,15,9/11/2016,9/25/2016,29,PAIDOFF
71,1061,male,Yes,No,3357,High School or Below,115200,15,9/11/2016,9/25/2016,29,PAIDOFF
72,1062,female,Yes,No,2500,Bechalor,120000,30,9/11/2016,10/10/2016,33,PAIDOFF
73,1063,male,Yes,No,3029,college,99000,15,9/11/2016,9/25/2016,34,PAIDOFF
74,1064,male,Yes,Yes,2609,college,165000,15,9/11/2016,9/25/2016,25,PAIDOFF
75,1065,male,Yes,No,4945,High School or Below,15000,30,9/11/2016,10/10/2016,30,PAIDOFF
77,1066,male,No,No,4166,college,116000,30,9/11/2016,10/10/2016,35,PAIDOFF
79,1067,female,Yes,No,5726,High School or Below,258000,30,9/11/2016,10/10/2016,44,PAIDOFF
80,1068,male,No,No,3200,High School or Below,126000,30,9/11/2016,10/10/2016,28,PAIDOFF
81,1069,male,Yes,No,10750,college,312000,7,9/11/2016,9/17/2016,25,PAIDOFF
82,1070,male,Yes,Yes,7100,college,125000,15,9/11/2016,9/25/2016,29,PAIDOFF
83,1071,male,No,No,4300,college,108800,15,9/11/2016,9/25/2016,33,PAIDOFF
86,1072,female,Yes,No,3208,High School or Below,172000,30,9/11/2016,10/10/2016,24,PAIDOFF
87,1073,female,Yes,Yes,1875,college,97000,30,9/11/2016,10/10/2016,27,PAIDOFF
89,1074,female,No,No,3500,High School or Below,64800,15,9/11/2016,9/25/2016,46,PAIDOFF
90,1075,female,Yes,No,4755,college,76000,15,9/11/2016,9/25/2016,34,PAIDOFF
92,1076,male,Yes,Yes,5266,High School or Below,149600,15,9/11/2016,9/25/2016,38,PAIDOFF
93,1077,male,No,No,3750,High School or Below,90400,15,9/11/2016,9/25/2016,27,PAIDOFF
94,1078,male,No,No,3750,High School or Below,176000,30,9/11/2016,10/10/2016,33,PAIDOFF
95,1079,male,Yes,Yes,1000,college,110000,30,9/11/2016,10/10/2016,36,PAIDOFF
97,1080,male,Yes,No,3167,college,180000,30,9/11/2016,10/10/2016,34,PAIDOFF
98,1081,male,Yes,Yes,3333,High School or Below,130000,30,9/11/2016,10/10/2016,22,PAIDOFF
99,1082,female,No,No,3846,Bechalor,111000,30,9/11/2016,10/10/2016,31,PAIDOFF
101,1083,male,Yes,Yes,2395,college,80000,15,9/11/2016,9/25/2016,38,PAIDOFF
102,1084,male,Yes,No,1378,college,167000,30,9/11/2016,10/10/2016,30,PAIDOFF
103,1085,male,Yes,No,6000,High School or Below,265000,15,9/11/2016,9/25/2016,45,PAIDOFF
104,1086,male,Yes,No,3988,college,50000,15,9/11/2016,9/25/2016,35,PAIDOFF
106,1087,male,No,No,2366,High School or Below,136000,30,9/11/2016,10/10/2016,31,PAIDOFF
107,1088,male,Yes,No,3333,High School or Below,99000,30,9/11/2016,10/10/2016,31,PAIDOFF
108,1089,male,Yes,No,2500,college,104000,30,9/11/2016,10/10/2016,28,PAIDOFF
109,1090,male,No,No,8566,college,210000,7,9/11/2016,9/24/2016,29,PAIDOFF
110,1091,male,Yes,No,5695,college,140000,15,9/11/2016,9/25/2016,29,PAIDOFF
111,1092,female,Yes,No,2958,college,131000,30,9/11/2016,11/9/2016,27,PAIDOFF
112,1093,male,Yes,No,6250,college,188000,30,9/11/2016,10/10/2016,27,PAIDOFF
113,1094,male,Yes,No,3273,college,81000,30,9/11/2016,10/10/2016,33,PAIDOFF
114,1095,male,No,No,4133,college,122000,30,9/11/2016,10/10/2016,28,PAIDOFF
115,1096,male,No,No,3620,High School or Below,25000,15,9/11/2016,9/25/2016,25,PAIDOFF
116,1097,male,No,,6782,college,247000,30,9/11/2016,10/10/2016,40,PAIDOFF
117,1098,male,Yes,No,2484,High School or Below,137000,30,9/11/2016,10/10/2016,23,PAIDOFF
118,1099,male,Yes,No,1977,Bechalor,50000,30,9/11/2016,10/10/2016,35,PAIDOFF
119,1100,male,Yes,No,4188,college,92000,15,9/11/2016,9/25/2016,24,PAIDOFF
120,1101,male,Yes,No,1759,college,131000,30,9/11/2016,10/10/2016,34,PAIDOFF
121,1102,male,Yes,No,4288,High School or Below,133000,30,9/11/2016,10/10/2016,22,PAIDOFF
122,1103,male,No,No,4843,college,151000,15,9/11/2016,10/25/2016,20,PAIDOFF
123,1104,male,Yes,No,13650,college,185000,15,9/11/2016,9/25/2016,23,PAIDOFF
124,1105,male,Yes,No,4652,college,230000,30,9/11/2016,10/10/2016,33,PAIDOFF
125,1106,male,,No,3816,college,160000,30,9/11/2016,10/10/2016,26,PAIDOFF
126,1107,male,Yes,No,3052,High School or Below,100000,15,9/11/2016,9/25/2016,28,PAIDOFF
127,1108,male,Yes,No,11417,High School or Below,180000,15,9/11/2016,9/25/2016,43,PAIDOFF
128,1109,male,No,,7333,Bechalor,120000,15,9/11/2016,9/25/2016,34,PAIDOFF
129,1110,male,Yes,No,3800,Bechalor,216000,30,9/11/2016,10/10/2016,38,PAIDOFF
130,1111,male,Yes,No,2071,High School or Below,94000,15,9/11/2016,9/25/2016,26,PAIDOFF
131,1112,male,No,No,5316,High School or Below,108800,15,9/11/2016,9/25/2016,43,PAIDOFF
132,1113,male,Yes,,2929,High School or Below,139000,30,9/11/2016,10/10/2016,26,PAIDOFF
133,1114,female,Yes,No,3572,college,152000,30,9/11/2016,10/10/2016,33,PAIDOFF
134,1115,male,No,Yes,7451,college,560000,15,9/11/2016,9/25/2016,24,PAIDOFF
135,1116,male,No,,5050,High School or Below,118000,30,9/11/2016,10/10/2016,30,PAIDOFF
136,1117,female,Yes,No,14583,High School or Below,148000,15,9/11/2016,9/25/2016,32,PAIDOFF
137,1118,male,Yes,No,3167,college,154000,15,9/11/2016,10/25/2016,22,PAIDOFF
138,1119,male,Yes,No,2214,High School or Below,85000,15,9/11/2016,9/25/2016,47,PAIDOFF
139,1120,male,Yes,No,5568,High School or Below,175000,30,9/11/2016,10/10/2016,20,PAIDOFF
140,1121,male,No,No,10408,High School or Below,259000,30,9/11/2016,10/10/2016,28,PAIDOFF
141,1122,male,Yes,No,5667,college,144000,15,9/11/2016,9/25/2016,35,PAIDOFF
143,1123,female,No,No,4166,college,35200,15,9/11/2016,9/25/2016,33,PAIDOFF
144,1124,male,No,No,2137,High School or Below,137000,30,9/11/2016,10/10/2016,30,PAIDOFF
145,1125,male,Yes,No,2957,college,81000,15,9/11/2016,9/25/2016,31,PAIDOFF
146,1126,female,Yes,No,4300,college,194000,30,9/11/2016,11/9/2016,26,PAIDOFF
148,1127,male,No,No,3692,Bechalor,93000,15,9/12/2016,9/26/2016,26,PAIDOFF
149,1128,male,Yes,No,23803,Bechalor,296000,15,9/12/2016,9/26/2016,35,PAIDOFF
151,1129,male,No,No,3865,college,28000,15,9/12/2016,9/26/2016,23,PAIDOFF
152,1130,female,Yes,Yes,10513,college,80000,15,9/12/2016,9/26/2016,23,PAIDOFF
153,1131,male,Yes,No,6080,college,182000,15,9/12/2016,9/26/2016,30,PAIDOFF
154,1132,male,No,Yes,20166,college,650000,30,9/12/2016,10/11/2016,34,PAIDOFF
155,1133,female,No,No,2014,High School or Below,74000,30,9/12/2016,10/11/2016,36,PAIDOFF
157,1134,male,No,No,2718,High School or Below,56000,15,9/12/2016,9/26/2016,29,PAIDOFF
158,1135,female,Yes,Yes,3459,college,25000,15,9/12/2016,9/26/2016,28,PAIDOFF
159,1136,male,No,No,4895,High School or Below,102000,30,9/12/2016,10/11/2016,27,PAIDOFF
160,1137,male,Yes,No,4000,High School or Below,290000,15,9/12/2016,9/26/2016,24,PAIDOFF
161,1138,male,Yes,No,4583,Bechalor,67200,15,9/12/2016,9/26/2016,31,PAIDOFF
162,1139,male,Yes,Yes,3316,High School or Below,88000,30,9/12/2016,10/11/2016,28,PAIDOFF
163,1140,female,No,No,14999,college,242000,15,9/12/2016,9/26/2016,27,PAIDOFF
164,1141,male,Yes,No,4200,High School or Below,129000,15,9/12/2016,9/26/2016,25,PAIDOFF
165,1142,male,Yes,No,5042,High School or Below,185000,30,9/12/2016,11/10/2016,24,PAIDOFF
166,1143,male,No,No,5417,college,168000,30,9/12/2016,10/11/2016,28,PAIDOFF
168,1144,male,No,Yes,6950,High School or Below,175000,15,9/12/2016,9/26/2016,35,PAIDOFF
170,1145,male,Yes,No,2698,High School or Below,122000,15,9/12/2016,9/26/2016,38,PAIDOFF
171,1146,male,Yes,No,11757,college,187000,30,9/12/2016,10/11/2016,29,PAIDOFF
172,1147,male,Yes,No,2330,High School or Below,80000,15,9/12/2016,9/26/2016,35,PAIDOFF
173,1148,male,Yes,No,14866,college,70000,30,9/12/2016,10/11/2016,24,PAIDOFF
174,1149,male,Yes,No,1538,High School or Below,24000,15,9/12/2016,9/26/2016,39,PAIDOFF
175,1150,male,No,No,10000,college,180000,15,9/12/2016,9/26/2016,25,PAIDOFF
176,1151,male,Yes,No,4860,High School or Below,125000,30,9/12/2016,10/11/2016,38,PAIDOFF
177,1152,male,No,No,6277,college,118000,30,9/12/2016,10/11/2016,30,PAIDOFF
178,1153,male,Yes,Yes,2577,High School or Below,152000,30,9/12/2016,10/11/2016,21,PAIDOFF
180,1154,female,No,No,9166,High School or Below,244000,15,9/12/2016,9/26/2016,31,PAIDOFF
181,1155,male,Yes,No,2281,High School or Below,33900,7,9/12/2016,9/18/2016,29,PAIDOFF
182,1156,male,No,No,3254,High School or Below,50000,30,9/12/2016,10/11/2016,35,PAIDOFF
183,1157,male,Yes,No,39999,High School or Below,480000,15,9/12/2016,9/26/2016,30,PAIDOFF
184,1158,male,Yes,No,6000,High School or Below,160000,30,9/12/2016,10/11/2016,27,PAIDOFF
185,1159,female,Yes,No,9538,High School or Below,187000,30,9/12/2016,10/11/2016,31,PAIDOFF
187,1160,male,No,,2980,High School or Below,120000,15,9/12/2016,9/26/2016,34,PAIDOFF
188,1161,male,Yes,No,4583,college,204000,15,9/12/2016,9/26/2016,28,PAIDOFF
189,1162,male,Yes,No,1863,college,78400,15,9/12/2016,9/26/2016,42,PAIDOFF
190,1163,male,Yes,No,7933,college,275000,30,9/12/2016,10/11/2016,32,PAIDOFF
191,1164,male,Yes,No,3089,High School or Below,121000,30,9/12/2016,10/11/2016,30,PAIDOFF
192,1165,female,Yes,No,4167,High School or Below,158000,15,9/12/2016,9/26/2016,25,PAIDOFF
193,1166,female,Yes,No,9323,High School or Below,75000,30,9/12/2016,10/11/2016,27,PAIDOFF
194,1167,male,Yes,No,3707,college,145600,15,9/12/2016,9/26/2016,21,PAIDOFF
195,1168,male,Yes,No,4583,college,112000,30,9/12/2016,10/11/2016,24,PAIDOFF
197,1169,male,Yes,No,2439,college,129000,15,9/12/2016,9/26/2016,40,PAIDOFF
198,1170,male,No,No,2237,High School or Below,63000,30,9/12/2016,10/11/2016,29,PAIDOFF
200,1171,male,Yes,No,8000,college,200000,15,9/12/2016,9/26/2016,30,PAIDOFF
201,1172,female,Yes,,1820,High School or Below,95000,30,9/12/2016,10/11/2016,26,PAIDOFF
203,1173,male,Yes,No,51763,college,560000,15,9/12/2016,9/26/2016,27,PAIDOFF
204,1174,male,Yes,No,3522,college,81000,30,9/12/2016,10/11/2016,20,PAIDOFF
205,1175,female,Yes,No,5708,Bechalor,187000,7,9/12/2016,9/18/2016,26,PAIDOFF
206,1176,male,Yes,Yes,4344,college,87000,30,9/12/2016,11/10/2016,26,PAIDOFF
207,1177,male,Yes,No,3497,college,116000,30,9/12/2016,10/11/2016,27,PAIDOFF
208,1178,male,Yes,No,2045,High School or Below,30300,7,9/12/2016,9/18/2016,23,PAIDOFF
209,1179,male,Yes,No,5516,High School or Below,495000,30,9/12/2016,10/11/2016,39,PAIDOFF
210,1180,male,Yes,No,3750,High School or Below,116000,15,9/12/2016,9/26/2016,27,PAIDOFF
211,1181,male,No,No,2333,High School or Below,102000,30,9/12/2016,10/11/2016,30,PAIDOFF
212,1182,female,Yes,No,6400,High School or Below,180000,30,9/12/2016,10/11/2016,33,PAIDOFF
213,1183,male,No,No,1916,High School or Below,67000,30,9/12/2016,10/11/2016,27,PAIDOFF
214,1184,male,Yes,No,4600,High School or Below,73000,30,9/12/2016,10/11/2016,35,PAIDOFF
215,1185,female,Yes,No,33846,college,260000,30,9/12/2016,11/10/2016,29,PAIDOFF
216,1186,male,Yes,No,3625,High School or Below,108000,15,9/12/2016,9/26/2016,50,PAIDOFF
217,1187,female,Yes,Yes,39147,High School or Below,96000,15,9/12/2016,9/26/2016,31,PAIDOFF
218,1188,male,Yes,Yes,2178,High School or Below,66000,15,9/12/2016,9/26/2016,31,PAIDOFF
219,1189,male,Yes,No,2383,High School or Below,58000,30,9/12/2016,10/11/2016,29,PAIDOFF
220,1190,male,Yes,Yes,674,college,168000,15,9/12/2016,9/26/2016,35,PAIDOFF
221,1191,male,Yes,No,9328,college,188000,30,9/12/2016,10/11/2016,39,PAIDOFF
223,1192,male,No,No,4885,High School or Below,48000,15,9/12/2016,9/26/2016,30,PAIDOFF
224,1193,male,No,No,12000,Bechalor,164000,30,9/12/2016,10/11/2016,33,PAIDOFF
225,1194,male,Yes,No,6033,High School or Below,160000,30,9/12/2016,10/11/2016,26,PAIDOFF
226,1195,male,No,No,3858,High School or Below,76000,15,9/12/2016,9/26/2016,25,PAIDOFF
227,1196,male,No,No,4191,Bechalor,96000,15,9/12/2016,9/26/2016,37,PAIDOFF
228,1197,male,Yes,No,3125,High School or Below,136000,15,9/12/2016,9/26/2016,26,PAIDOFF
229,1198,male,No,No,8333,college,149600,15,9/12/2016,9/26/2016,26,PAIDOFF
230,1199,male,No,No,1907,college,120000,15,9/12/2016,10/26/2016,27,PAIDOFF
231,1200,female,Yes,No,3416,college,113000,7,9/12/2016,9/25/2016,34,PAIDOFF
232,1201,male,No,Yes,11000,college,83000,30,9/12/2016,10/11/2016,37,PAIDOFF
233,1202,male,Yes,No,2600,High School or Below,90000,30,9/12/2016,10/11/2016,36,PAIDOFF
234,1203,male,No,No,4923,High School or Below,132800,15,9/12/2016,9/26/2016,33,PAIDOFF
235,1204,male,Yes,No,3992,High School or Below,0,30,9/12/2016,10/11/2016,30,PAIDOFF
237,1205,male,Yes,No,3500,High School or Below,108000,15,9/12/2016,9/26/2016,36,PAIDOFF
238,1206,male,Yes,No,3917,college,124000,15,9/12/2016,10/11/2016,29,PAIDOFF
240,1207,male,No,No,4408,High School or Below,120000,30,9/12/2016,10/11/2016,32,PAIDOFF
241,1208,female,No,No,3244,High School or Below,80000,15,9/12/2016,9/26/2016,29,PAIDOFF
242,1209,male,No,No,3975,Bechalor,44000,15,9/12/2016,9/26/2016,36,PAIDOFF
243,1210,female,No,No,2479,High School or Below,47200,15,9/12/2016,9/26/2016,30,PAIDOFF
244,1211,male,No,No,3418,college,127000,7,9/13/2016,9/19/2016,31,PAIDOFF
245,1212,female,No,No,10000,High School or Below,214000,30,9/13/2016,10/12/2016,19,PAIDOFF
246,1213,male,Yes,No,3430,college,102400,15,9/13/2016,9/27/2016,26,PAIDOFF
247,1214,male,Yes,Yes,7787,High School or Below,192000,15,9/13/2016,9/27/2016,34,PAIDOFF
248,1215,male,Yes,Yes,5703,High School or Below,130000,30,9/13/2016,10/12/2016,35,PAIDOFF
249,1216,female,Yes,No,3173,Bechalor,137000,15,9/13/2016,9/27/2016,35,PAIDOFF
250,1217,male,Yes,No,3850,college,80000,15,9/13/2016,9/27/2016,38,PAIDOFF
253,1218,male,Yes,No,150,High School or Below,67500,7,9/13/2016,9/19/2016,22,PAIDOFF
254,1219,male,Yes,No,3727,college,131000,30,9/13/2016,10/12/2016,32,PAIDOFF
255,1220,male,Yes,,5000,college,72000,30,9/13/2016,10/12/2016,31,PAIDOFF
256,1221,male,Yes,No,4283,college,101600,15,9/13/2016,9/27/2016,28,PAIDOFF
257,1222,female,Yes,No,2221,college,60000,15,9/13/2016,9/27/2016,37,PAIDOFF
258,1223,male,Yes,No,4009,college,116000,7,9/13/2016,9/19/2016,25,PAIDOFF
259,1224,male,No,No,2971,High School or Below,144000,30,9/13/2016,10/12/2016,19,PAIDOFF
260,1225,male,Yes,No,7578,college,140000,15,9/13/2016,9/27/2016,51,PAIDOFF
261,1226,male,Yes,No,6250,High School or Below,128000,15,9/13/2016,9/27/2016,29,PAIDOFF
262,1227,female,Yes,No,3250,college,136000,30,9/13/2016,10/12/2016,23,PAIDOFF
263,1228,male,Yes,Yes,4735,High School or Below,138000,15,9/13/2016,9/27/2016,30,PAIDOFF
265,1229,female,Yes,No,6250,Bechalor,210000,15,9/13/2016,9/27/2016,34,PAIDOFF
266,1230,female,,No,4758,Bechalor,126400,15,9/13/2016,9/27/2016,31,PAIDOFF
267,1231,male,No,Yes,6400,High School or Below,200000,15,9/14/2016,9/28/2016,24,PAIDOFF
268,1232,male,Yes,No,2491,High School or Below,104000,30,9/14/2016,10/13/2016,42,PAIDOFF
269,1233,female,Yes,,3716,college,33600,30,9/14/2016,10/13/2016,40,PAIDOFF
270,1234,male,No,No,3189,High School or Below,120000,30,9/14/2016,10/13/2016,29,PAIDOFF
271,1235,female,No,No,8333,college,280000,30,9/14/2016,10/13/2016,32,PAIDOFF
272,1236,male,Yes,No,3155,college,140000,30,9/14/2016,11/12/2016,28,PAIDOFF
273,1237,male,Yes,No,5500,High School or Below,170000,30,9/14/2016,10/13/2016,35,PAIDOFF
274,1238,male,Yes,,5746,Bechalor,255000,30,9/14/2016,10/13/2016,30,PAIDOFF
275,1239,male,No,Yes,3463,college,97600,15,9/14/2016,9/28/2016,44,PAIDOFF
276,1240,male,No,No,3812,High School or Below,89600,15,9/14/2016,9/28/2016,37,PAIDOFF
277,1241,male,Yes,No,3315,college,96000,30,9/14/2016,10/13/2016,31,PAIDOFF
278,1242,male,Yes,No,5819,college,96000,15,9/14/2016,9/28/2016,36,PAIDOFF
279,1243,male,Yes,No,2510,college,112000,30,9/14/2016,10/13/2016,31,PAIDOFF
280,1244,male,No,No,2965,High School or Below,124000,15,9/14/2016,9/28/2016,42,PAIDOFF
281,1245,male,Yes,Yes,6250,Bechalor,108000,15,9/14/2016,9/28/2016,28,PAIDOFF
282,1246,male,Yes,No,3406,college,123000,30,9/14/2016,10/13/2016,30,PAIDOFF
283,1247,male,No,Yes,6050,High School or Below,120000,30,9/14/2016,10/13/2016,30,PAIDOFF
284,1248,male,Yes,No,9703,Bechalor,112000,15,9/14/2016,9/28/2016,24,PAIDOFF
285,1249,male,Yes,No,6608,Bechalor,137000,30,9/14/2016,11/12/2016,34,PAIDOFF
286,1250,male,Yes,No,2882,college,123000,30,9/14/2016,10/13/2016,29,PAIDOFF
288,1251,male,Yes,No,1809,Bechalor,90000,30,9/14/2016,10/13/2016,34,PAIDOFF
289,1252,male,Yes,No,1668,High School or Below,160800,15,9/14/2016,9/28/2016,28,PAIDOFF
290,1253,female,No,No,3427,college,138000,15,9/14/2016,9/28/2016,30,PAIDOFF
291,1254,male,No,Yes,2583,High School or Below,104000,30,9/14/2016,10/13/2016,41,PAIDOFF
292,1255,male,Yes,No,2661,college,279000,30,9/14/2016,10/13/2016,29,PAIDOFF
293,1256,male,No,Yes,16250,High School or Below,192000,30,9/14/2016,10/13/2016,37,PAIDOFF
294,1257,male,No,No,3083,Bechalor,255000,30,9/14/2016,10/13/2016,36,PAIDOFF
296,1258,male,No,No,6045,college,92000,15,9/14/2016,9/28/2016,27,PAIDOFF
297,1259,male,Yes,No,5250,High School or Below,94000,30,9/14/2016,10/13/2016,29,PAIDOFF
298,1260,male,Yes,No,14683,High School or Below,304000,30,9/14/2016,10/13/2016,40,PAIDOFF
299,1261,male,Yes,No,4931,college,128000,30,9/14/2016,10/13/2016,28,PAIDOFF
300,1262,male,Yes,No,6083,college,330000,15,9/9/2016,9/23/2016,29,COLLECTION
301,1263,male,No,No,2060,High School or Below,134000,30,9/9/2016,10/8/2016,37,COLLECTION
303,1264,male,No,No,3481,college,124000,15,9/9/2016,9/23/2016,27,COLLECTION
304,1265,male,No,No,7200,Bechalor,96000,15,9/9/2016,9/23/2016,24,COLLECTION
306,1266,male,No,Yes,5166,college,102400,15,9/10/2016,10/9/2016,28,COLLECTION
307,1267,male,No,No,4095,High School or Below,151000,30,9/10/2016,10/9/2016,40,COLLECTION
308,1268,male,Yes,No,4708,college,150000,30,9/10/2016,10/9/2016,33,COLLECTION
312,1269,male,Yes,No,4333,High School or Below,160000,30,9/10/2016,10/9/2016,27,COLLECTION
314,1270,male,No,,3418,college,135000,30,9/10/2016,10/9/2016,24,COLLECTION
316,1271,male,No,No,2876,High School or Below,90000,30,9/10/2016,10/9/2016,30,COLLECTION
317,1272,male,No,No,3237,High School or Below,30000,15,9/10/2016,9/24/2016,29,COLLECTION
318,1273,male,Yes,No,11146,Bechalor,136000,30,9/10/2016,10/9/2016,22,COLLECTION
319,1274,male,No,No,2833,Bechalor,126000,15,9/10/2016,9/24/2016,24,COLLECTION
320,1275,male,Yes,No,2620,college,150000,30,9/10/2016,10/9/2016,25,COLLECTION
321,1276,male,Yes,No,3900,High School or Below,90000,30,9/10/2016,10/9/2016,28,COLLECTION
322,1277,male,Yes,No,2750,college,115000,30,9/10/2016,10/9/2016,37,COLLECTION
323,1278,male,Yes,No,3993,college,165600,15,9/10/2016,9/24/2016,32,COLLECTION
324,1279,male,Yes,No,3103,college,80000,15,9/10/2016,9/24/2016,34,COLLECTION
325,1280,male,Yes,No,14583,Bechalor,436000,30,9/11/2016,10/10/2016,28,COLLECTION
326,1281,male,Yes,No,4100,Bechalor,99200,15,9/11/2016,9/25/2016,35,COLLECTION
327,1282,male,No,Yes,4053,college,158000,30,9/11/2016,11/9/2016,27,COLLECTION
329,1283,male,Yes,No,3927,Bechalor,112000,30,9/11/2016,10/10/2016,44,COLLECTION
330,1284,male,Yes,No,2301,college,78000,15,9/11/2016,10/25/2016,31,COLLECTION
332,1285,male,No,No,1811,High School or Below,54000,30,9/11/2016,10/10/2016,21,COLLECTION
333,1286,female,Yes,No,20667,High School or Below,45000,30,9/11/2016,10/10/2016,30,COLLECTION
