,Principal,terms,effective_date,due_date,age,education,Gender,loan_status
65,1000,30,9/11/2016,10/10/2016,35,college,male,PAIDOFF
66,1000,30,9/11/2016,10/10/2016,44,High School or Below,female,PAIDOFF
67,1000,30,9/11/2016,10/10/2016,28,High School or Below,male,PAIDOFF
68,1000,7,9/11/2016,9/17/2016,25,college,male,PAIDOFF
69,1000,15,9/11/2016,9/25/2016,29,college,male,PAIDOFF
70,800,15,9/11/2016,9/25/2016,33,college,male,PAIDOFF
71,1000,30,9/11/2016,10/10/2016,24,High School or Below,female,PAIDOFF
72,1000,30,9/11/2016,10/10/2016,27,college,female,PAIDOFF
73,800,15,9/11/2016,9/25/2016,46,High School or Below,female,PAIDOFF
74,800,15,9/11/2016,9/25/2016,34,college,female,PAIDOFF
75,800,15,9/11/2016,9/25/2016,38,High School or Below,male,PAIDOFF
76,800,15,9/11/2016,9/25/2016,27,High School or Below,male,PAIDOFF
77,1000,30,9/11/2016,10/10/2016,33,High School or Below,male,PAIDOFF
78,1000,30,9/11/2016,10/10/2016,36,college,male,PAIDOFF
79,1000,30,9/11/2016,10/10/2016,34,college,male,PAIDOFF
80,1000,30,9/11/2016,10/10/2016,22,High School or Below,male,PAIDOFF
81,1000,30,9/11/2016,10/10/2016,31,Bachelor ,female,PAIDOFF
82,800,15,9/11/2016,9/25/2016,38,college,male,PAIDOFF
83,1000,30,9/11/2016,10/10/2016,30,college,male,PAIDOFF
84,1000,15,9/11/2016,9/25/2016,45,High School or Below,male,PAIDOFF
85,1000,15,9/11/2016,9/25/2016,35,college,male,PAIDOFF
86,1000,30,9/11/2016,10/10/2016,31,High School or Below,male,PAIDOFF
87,1000,30,9/11/2016,10/10/2016,31,High School or Below,male,PAIDOFF
88,1000,30,9/11/2016,10/10/2016,28,college,male,PAIDOFF
89,1000,7,9/11/2016,9/24/2016,29,college,male,PAIDOFF
90,800,15,9/11/2016,9/25/2016,29,college,male,PAIDOFF
91,1000,30,9/11/2016,11/9/2016,27,college,female,PAIDOFF
92,1000,30,9/11/2016,10/10/2016,27,college,male,PAIDOFF
93,1000,30,9/11/2016,10/10/2016,33,college,male,PAIDOFF
94,1000,30,9/11/2016,10/10/2016,28,college,male,PAIDOFF
95,1000,15,9/11/2016,9/25/2016,25,High School or Below,male,PAIDOFF
96,1000,30,9/11/2016,10/10/2016,40,college,male,PAIDOFF
97,1000,30,9/11/2016,10/10/2016,23,High School or Below,male,PAIDOFF
98,1000,30,9/11/2016,10/10/2016,35,Bachelor ,male,PAIDOFF
99,800,15,9/11/2016,9/25/2016,24,college,male,PAIDOFF
100,1000,30,9/11/2016,10/10/2016,34,college,male,PAIDOFF
101,1000,30,9/11/2016,10/10/2016,22,High School or Below,male,PAIDOFF
102,1000,15,9/11/2016,10/25/2016,20,college,male,PAIDOFF
103,1000,15,9/11/2016,9/25/2016,23,college,male,PAIDOFF
104,1000,30,9/11/2016,10/10/2016,33,college,male,PAIDOFF
105,1000,30,9/11/2016,10/10/2016,26,college,male,PAIDOFF
106,1000,15,9/11/2016,9/25/2016,28,High School or Below,male,PAIDOFF
107,800,15,9/11/2016,9/25/2016,43,High School or Below,male,PAIDOFF
108,1000,15,9/11/2016,9/25/2016,34,Bachelor ,male,PAIDOFF
109,1000,30,9/11/2016,10/10/2016,38,Bachelor ,male,PAIDOFF
110,1000,15,9/11/2016,9/25/2016,26,High School or Below,male,PAIDOFF
111,800,15,9/11/2016,9/25/2016,43,High School or Below,male,PAIDOFF
112,1000,30,9/11/2016,10/10/2016,26,High School or Below,male,PAIDOFF
113,1000,30,9/11/2016,10/10/2016,33,college,female,PAIDOFF
114,800,15,9/11/2016,9/25/2016,24,college,male,PAIDOFF
115,1000,30,9/11/2016,10/10/2016,30,High School or Below,male,PAIDOFF
116,800,15,9/11/2016,9/25/2016,32,High School or Below,female,PAIDOFF
117,1000,15,9/11/2016,10/25/2016,22,college,male,PAIDOFF
118,1000,15,9/11/2016,9/25/2016,47,High School or Below,male,PAIDOFF
119,1000,30,9/11/2016,10/10/2016,20,High School or Below,male,PAIDOFF
120,1000,30,9/11/2016,10/10/2016,28,High School or Below,male,PAIDOFF
121,800,15,9/11/2016,9/25/2016,35,college,male,PAIDOFF
122,800,15,9/11/2016,9/25/2016,33,college,female,PAIDOFF
123,1000,30,9/11/2016,10/10/2016,30,High School or Below,male,PAIDOFF
124,1000,15,9/11/2016,9/25/2016,31,college,male,PAIDOFF
125,1000,30,9/11/2016,11/9/2016,26,college,female,PAIDOFF
126,1000,15,9/12/2016,9/26/2016,26,Bachelor ,male,PAIDOFF
127,800,15,9/12/2016,9/26/2016,35,Bachelor ,male,PAIDOFF
128,800,15,9/12/2016,9/26/2016,23,college,male,PAIDOFF
129,500,15,9/12/2016,9/26/2016,23,college,female,PAIDOFF
130,1000,15,9/12/2016,9/26/2016,30,college,male,PAIDOFF
131,1000,30,9/12/2016,10/11/2016,34,college,male,PAIDOFF
132,1000,30,9/12/2016,10/11/2016,36,High School or Below,female,PAIDOFF
133,800,15,9/12/2016,9/26/2016,29,High School or Below,male,PAIDOFF
134,1000,15,9/12/2016,9/26/2016,28,college,female,PAIDOFF
135,1000,30,9/12/2016,10/11/2016,27,High School or Below,male,PAIDOFF
136,1000,15,9/12/2016,9/26/2016,24,High School or Below,male,PAIDOFF
137,800,15,9/12/2016,9/26/2016,31,Bachelor ,male,PAIDOFF
138,1000,30,9/12/2016,10/11/2016,28,High School or Below,male,PAIDOFF
139,1000,15,9/12/2016,9/26/2016,27,college,female,PAIDOFF
140,1000,15,9/12/2016,9/26/2016,25,High School or Below,male,PAIDOFF
141,1000,30,9/12/2016,11/10/2016,24,High School or Below,male,PAIDOFF
142,1000,30,9/12/2016,10/11/2016,28,college,male,PAIDOFF
143,1000,15,9/12/2016,9/26/2016,35,High School or Below,male,PAIDOFF
144,1000,15,9/12/2016,9/26/2016,38,High School or Below,male,PAIDOFF
145,1000,30,9/12/2016,10/11/2016,29,college,male,PAIDOFF
146,800,15,9/12/2016,9/26/2016,35,High School or Below,male,PAIDOFF
147,1000,30,9/12/2016,10/11/2016,24,college,male,PAIDOFF
148,800,15,9/12/2016,9/26/2016,39,High School or Below,male,PAIDOFF
149,800,15,9/12/2016,9/26/2016,25,college,male,PAIDOFF
150,1000,30,9/12/2016,10/11/2016,38,High School or Below,male,PAIDOFF
151,1000,30,9/12/2016,10/11/2016,30,college,male,PAIDOFF
152,1000,30,9/12/2016,10/11/2016,21,High School or Below,male,PAIDOFF
153,1000,15,9/12/2016,9/26/2016,31,High School or Below,female,PAIDOFF
154,300,7,9/12/2016,9/18/2016,29,High School or Below,male,PAIDOFF
155,1000,30,9/12/2016,10/11/2016,35,High School or Below,male,PAIDOFF
156,800,15,9/12/2016,9/26/2016,30,High School or Below,male,PAIDOFF
157,1000,30,9/12/2016,10/11/2016,27,High School or Below,male,PAIDOFF
158,1000,30,9/12/2016,10/11/2016,31,High School or Below,female,PAIDOFF
159,1000,15,9/12/2016,9/26/2016,34,High School or Below,male,PAIDOFF
160,800,15,9/12/2016,9/26/2016,28,college,male,PAIDOFF
161,800,15,9/12/2016,9/26/2016,42,college,male,PAIDOFF
162,1000,30,9/12/2016,10/11/2016,32,college,male,PAIDOFF
163,1000,30,9/12/2016,10/11/2016,30,High School or Below,male,PAIDOFF
164,1000,15,9/12/2016,9/26/2016,25,High School or Below,female,PAIDOFF
165,1000,30,9/12/2016,10/11/2016,27,High School or Below,female,PAIDOFF
166,800,15,9/12/2016,9/26/2016,21,college,male,PAIDOFF
167,1000,30,9/12/2016,10/11/2016,24,college,male,PAIDOFF
168,1000,15,9/12/2016,9/26/2016,40,college,male,PAIDOFF
169,1000,30,9/12/2016,10/11/2016,29,High School or Below,male,PAIDOFF
170,1000,15,9/12/2016,9/26/2016,30,college,male,PAIDOFF
171,1000,30,9/12/2016,10/11/2016,26,High School or Below,female,PAIDOFF
172,800,15,9/12/2016,9/26/2016,27,college,male,PAIDOFF
173,1000,30,9/12/2016,10/11/2016,20,college,male,PAIDOFF
174,1000,7,9/12/2016,9/18/2016,26,Bachelor ,female,PAIDOFF
175,1000,30,9/12/2016,11/10/2016,26,college,male,PAIDOFF
176,1000,30,9/12/2016,10/11/2016,27,college,male,PAIDOFF
177,300,7,9/12/2016,9/18/2016,23,High School or Below,male,PAIDOFF
178,1000,30,9/12/2016,10/11/2016,39,High School or Below,male,PAIDOFF
179,1000,15,9/12/2016,9/26/2016,27,High School or Below,male,PAIDOFF
180,1000,30,9/12/2016,10/11/2016,30,High School or Below,male,PAIDOFF
181,1000,30,9/12/2016,10/11/2016,33,High School or Below,female,PAIDOFF
182,1000,30,9/12/2016,10/11/2016,27,High School or Below,male,PAIDOFF
183,1000,30,9/12/2016,10/11/2016,35,High School or Below,male,PAIDOFF
184,1000,30,9/12/2016,11/10/2016,29,college,female,PAIDOFF
185,1000,15,9/12/2016,9/26/2016,50,High School or Below,male,PAIDOFF
186,800,15,9/12/2016,9/26/2016,31,High School or Below,female,PAIDOFF
187,1000,15,9/12/2016,9/26/2016,31,High School or Below,male,PAIDOFF
188,1000,30,9/12/2016,10/11/2016,29,High School or Below,male,PAIDOFF
189,1000,15,9/12/2016,9/26/2016,35,college,male,PAIDOFF
190,1000,30,9/12/2016,10/11/2016,39,college,male,PAIDOFF
191,1000,15,9/12/2016,9/26/2016,30,High School or Below,male,PAIDOFF
192,1000,30,9/12/2016,10/11/2016,33,Bachelor ,male,PAIDOFF
193,1000,30,9/12/2016,10/11/2016,26,High School or Below,male,PAIDOFF
194,1000,15,9/12/2016,9/26/2016,25,High School or Below,male,PAIDOFF
195,800,15,9/12/2016,9/26/2016,37,Bachelor ,male,PAIDOFF
196,800,15,9/12/2016,9/26/2016,26,High School or Below,male,PAIDOFF
197,800,15,9/12/2016,9/26/2016,26,college,male,PAIDOFF
198,1000,15,9/12/2016,10/26/2016,27,college,male,PAIDOFF
199,1000,7,9/12/2016,9/25/2016,34,college,female,PAIDOFF
200,1000,30,9/12/2016,10/11/2016,37,college,male,PAIDOFF
201,1000,30,9/12/2016,10/11/2016,36,High School or Below,male,PAIDOFF
202,800,15,9/12/2016,9/26/2016,33,High School or Below,male,PAIDOFF
203,1000,30,9/12/2016,10/11/2016,30,High School or Below,male,PAIDOFF
204,800,15,9/12/2016,9/26/2016,36,High School or Below,male,PAIDOFF
205,1000,15,9/12/2016,10/11/2016,29,college,male,PAIDOFF
206,1000,30,9/12/2016,10/11/2016,32,High School or Below,male,PAIDOFF
207,1000,15,9/12/2016,9/26/2016,29,High School or Below,female,PAIDOFF
208,800,15,9/12/2016,9/26/2016,36,Bachelor ,male,PAIDOFF
209,800,15,9/12/2016,9/26/2016,30,High School or Below,female,PAIDOFF
210,1000,7,9/13/2016,9/19/2016,31,college,male,PAIDOFF
211,1000,30,9/13/2016,10/12/2016,19,High School or Below,female,PAIDOFF
212,800,15,9/13/2016,9/27/2016,26,college,male,PAIDOFF
213,800,15,9/13/2016,9/27/2016,34,High School or Below,male,PAIDOFF
214,1000,30,9/13/2016,10/12/2016,35,High School or Below,male,PAIDOFF
215,1000,15,9/13/2016,9/27/2016,35,Bachelor ,female,PAIDOFF
216,800,15,9/13/2016,9/27/2016,38,college,male,PAIDOFF
217,500,7,9/13/2016,9/19/2016,22,High School or Below,male,PAIDOFF
218,1000,30,9/13/2016,10/12/2016,32,college,male,PAIDOFF
219,1000,30,9/13/2016,10/12/2016,31,college,male,PAIDOFF
220,800,15,9/13/2016,9/27/2016,28,college,male,PAIDOFF
221,1000,15,9/13/2016,9/27/2016,37,college,female,PAIDOFF
222,1000,7,9/13/2016,9/19/2016,25,college,male,PAIDOFF
223,1000,30,9/13/2016,10/12/2016,19,High School or Below,male,PAIDOFF
224,800,15,9/13/2016,9/27/2016,51,college,male,PAIDOFF
225,1000,15,9/13/2016,9/27/2016,29,High School or Below,male,PAIDOFF
226,800,30,9/13/2016,10/12/2016,23,college,female,PAIDOFF
227,1000,15,9/13/2016,9/27/2016,30,High School or Below,male,PAIDOFF
228,1000,15,9/13/2016,9/27/2016,34,Bachelor ,female,PAIDOFF
229,800,15,9/13/2016,9/27/2016,31,Bachelor ,female,PAIDOFF
230,1000,15,9/14/2016,9/28/2016,24,High School or Below,male,PAIDOFF
231,1000,30,9/14/2016,10/13/2016,42,High School or Below,male,PAIDOFF
232,800,30,9/14/2016,10/13/2016,40,college,female,PAIDOFF
233,1000,30,9/14/2016,10/13/2016,29,High School or Below,male,PAIDOFF
234,1000,30,9/14/2016,10/13/2016,32,college,female,PAIDOFF
235,1000,30,9/14/2016,11/12/2016,28,college,male,PAIDOFF
236,1000,30,9/14/2016,10/13/2016,35,High School or Below,male,PAIDOFF
237,1000,30,9/14/2016,10/13/2016,30,Bachelor ,male,PAIDOFF
238,800,15,9/14/2016,9/28/2016,44,college,male,PAIDOFF
239,800,15,9/14/2016,9/28/2016,37,High School or Below,male,PAIDOFF
240,1000,30,9/14/2016,10/13/2016,31,college,male,PAIDOFF
241,800,15,9/14/2016,9/28/2016,36,college,male,PAIDOFF
242,800,30,9/14/2016,10/13/2016,31,college,male,PAIDOFF
243,800,15,9/14/2016,9/28/2016,42,High School or Below,male,PAIDOFF
244,1000,15,9/14/2016,9/28/2016,28,Bachelor ,male,PAIDOFF
245,1000,30,9/14/2016,10/13/2016,30,college,male,PAIDOFF
246,1000,30,9/14/2016,10/13/2016,30,High School or Below,male,PAIDOFF
247,1000,15,9/14/2016,9/28/2016,24,Bachelor ,male,PAIDOFF
248,1000,30,9/14/2016,11/12/2016,34,Bachelor ,male,PAIDOFF
249,1000,30,9/14/2016,10/13/2016,29,college,male,PAIDOFF
250,1000,30,9/14/2016,10/13/2016,34,Bachelor ,male,PAIDOFF
251,800,15,9/14/2016,9/28/2016,28,High School or Below,male,PAIDOFF
252,1000,15,9/14/2016,9/28/2016,30,college,female,PAIDOFF
253,1000,30,9/14/2016,10/13/2016,41,High School or Below,male,PAIDOFF
254,1000,30,9/14/2016,10/13/2016,29,college,male,PAIDOFF
255,1000,30,9/14/2016,10/13/2016,37,High School or Below,male,PAIDOFF
256,1000,30,9/14/2016,10/13/2016,36,Bachelor ,male,PAIDOFF
257,800,15,9/14/2016,9/28/2016,27,college,male,PAIDOFF
258,1000,30,9/14/2016,10/13/2016,29,High School or Below,male,PAIDOFF
259,1000,30,9/14/2016,10/13/2016,40,High School or Below,male,PAIDOFF
260,1000,30,9/14/2016,10/13/2016,28,college,male,PAIDOFF
261,1000,15,9/9/2016,9/23/2016,29,college,male,COLLECTION
262,1000,30,9/9/2016,10/8/2016,37,High School or Below,male,COLLECTION
263,800,15,9/9/2016,9/23/2016,27,college,male,COLLECTION
264,800,15,9/9/2016,9/23/2016,24,Bachelor ,male,COLLECTION
265,800,15,9/10/2016,10/9/2016,28,college,male,COLLECTION
266,1000,30,9/10/2016,10/9/2016,40,High School or Below,male,COLLECTION
267,1000,30,9/10/2016,10/9/2016,33,college,male,COLLECTION
268,1000,30,9/10/2016,10/9/2016,27,High School or Below,male,COLLECTION
269,1000,30,9/10/2016,10/9/2016,24,college,male,COLLECTION
270,1000,30,9/10/2016,10/9/2016,30,High School or Below,male,COLLECTION
271,1000,15,9/10/2016,9/24/2016,29,High School or Below,male,COLLECTION
272,1000,30,9/10/2016,10/9/2016,22,Bachelor ,male,COLLECTION
273,1000,15,9/10/2016,9/24/2016,24,Bachelor ,male,COLLECTION
274,1000,30,9/10/2016,10/9/2016,25,college,male,COLLECTION
275,1000,30,9/10/2016,10/9/2016,28,High School or Below,male,COLLECTION
276,1000,30,9/10/2016,10/9/2016,37,college,male,COLLECTION
277,800,15,9/10/2016,9/24/2016,32,college,male,COLLECTION
278,1000,15,9/10/2016,9/24/2016,34,college,male,COLLECTION
279,1000,30,9/11/2016,10/10/2016,28,Bachelor ,male,COLLECTION
280,800,15,9/11/2016,9/25/2016,35,Bachelor ,male,COLLECTION
281,1000,30,9/11/2016,11/9/2016,27,college,male,COLLECTION
282,1000,30,9/11/2016,10/10/2016,44,Bachelor ,male,COLLECTION
283,1000,15,9/11/2016,10/25/2016,31,college,male,COLLECTION
284,1000,30,9/11/2016,10/10/2016,21,High School or Below,male,COLLECTION
285,1000,30,9/11/2016,10/10/2016,30,High School or Below,female,COLLECTION
286,1000,30,9/11/2016,10/10/2016,38,college,female,COLLECTION
287,1000,30,9/11/2016,10/10/2016,34,High School or Below,male,COLLECTION
288,1000,30,9/11/2016,10/10/2016,31,college,male,COLLECTION
289,1000,30,9/11/2016,10/10/2016,23,High School or Below,male,COLLECTION
290,1000,15,9/11/2016,9/25/2016,27,college,female,COLLECTION
291,1000,15,9/11/2016,9/25/2016,39,High School or Below,male,COLLECTION
292,1000,30,9/11/2016,10/10/2016,30,High School or Below,female,COLLECTION
293,1000,30,9/11/2016,10/10/2016,25,college,male,COLLECTION
294,1000,15,9/11/2016,9/25/2016,50,Master or Above,male,COLLECTION
295,1000,30,9/11/2016,10/10/2016,23,High School or Below,male,COLLECTION
296,800,15,9/11/2016,9/25/2016,38,Bachelor ,male,COLLECTION
297,1000,30,9/11/2016,10/10/2016,27,High School or Below,male,COLLECTION
298,1000,30,9/11/2016,11/9/2016,31,High School or Below,male,COLLECTION
299,800,15,9/11/2016,9/25/2016,40,college,male,COLLECTION
300,1000,30,9/11/2016,10/10/2016,26,High School or Below,male,COLLECTION
301,1000,15,9/11/2016,9/25/2016,25,college,male,COLLECTION
302,1000,30,9/11/2016,10/10/2016,35,High School or Below,male,COLLECTION
303,1000,30,9/11/2016,10/10/2016,41,High School or Below,male,COLLECTION
304,1000,30,9/11/2016,10/10/2016,37,High School or Below,male,COLLECTION
305,1000,15,9/11/2016,10/10/2016,34,college,male,COLLECTION
306,1000,30,9/11/2016,10/10/2016,45,High School or Below,male,COLLECTION
307,1000,30,9/11/2016,10/10/2016,26,Bachelor ,male,COLLECTION
308,1000,30,9/11/2016,10/10/2016,32,college,male,COLLECTION
309,1000,30,9/11/2016,10/10/2016,28,High School or Below,male,COLLECTION
310,1000,30,9/11/2016,10/10/2016,34,college,male,COLLECTION
311,800,15,9/11/2016,9/25/2016,29,High School or Below,male,COLLECTION
312,1000,30,9/11/2016,10/10/2016,26,High School or Below,male,COLLECTION
313,1000,15,9/11/2016,9/25/2016,26,college,male,COLLECTION
314,800,15,9/11/2016,9/25/2016,22,college,male,COLLECTION
315,1000,30,9/11/2016,10/10/2016,27,High School or Below,female,COLLECTION
316,800,30,9/11/2016,10/10/2016,33,High School or Below,male,COLLECTION
317,800,15,9/11/2016,9/25/2016,28,Bachelor ,male,COLLECTION
318,1000,30,9/11/2016,10/10/2016,24,college,male,COLLECTION
319,1000,30,9/11/2016,10/10/2016,18,college,male,COLLECTION
320,800,15,9/11/2016,9/25/2016,25,High School or Below,male,COLLECTION
321,1000,15,9/11/2016,9/25/2016,40,High School or Below,male,COLLECTION
322,1000,30,9/11/2016,10/10/2016,29,college,male,COLLECTION
323,800,15,9/11/2016,9/25/2016,26,High School or Below,female,COLLECTION
324,1000,15,9/11/2016,9/25/2016,30,college,male,COLLECTION
325,1000,30,9/11/2016,10/10/2016,33,college,male,COLLECTION
326,1000,30,9/11/2016,10/10/2016,30,college,male,COLLECTION
327,1000,30,9/11/2016,10/10/2016,32,college,male,COLLECTION
328,1000,30,9/11/2016,10/10/2016,25,High School or Below,male,COLLECTION
329,800,15,9/11/2016,9/25/2016,35,High School or Below,male,COLLECTION
330,1000,15,9/11/2016,9/25/2016,30,Bachelor ,male,COLLECTION
331,1000,30,9/11/2016,10/10/2016,26,High School or Below,male,COLLECTION
332,1000,30,9/11/2016,10/10/2016,29,High School or Below,male,COLLECTION
333,1000,30,9/11/2016,11/9/2016,26,High School or Below,male,COLLECTION
334,800,15,9/11/2016,9/25/2016,46,High School or Below,male,COLLECTION
335,1000,30,9/11/2016,10/10/2016,36,High School or Below,male,COLLECTION
336,1000,15,9/11/2016,9/25/2016,38,Bachelor ,male,COLLECTION
337,1000,15,9/11/2016,10/25/2016,32,High School or Below,male,COLLECTION
338,1000,15,9/11/2016,9/25/2016,30,college,male,COLLECTION
339,800,15,9/11/2016,9/25/2016,35,High School or Below,male,COLLECTION
340,1000,30,9/11/2016,10/10/2016,29,college,female,COLLECTION
341,1000,30,9/11/2016,11/9/2016,26,college,male,COLLECTION
342,800,15,9/11/2016,9/25/2016,32,High School or Below,male,COLLECTION
343,1000,30,9/11/2016,10/10/2016,25,High School or Below,male,COLLECTION
344,800,15,9/12/2016,9/26/2016,39,college,male,COLLECTION
345,1000,30,9/12/2016,11/10/2016,28,college,male,COLLECTION
346,1000,30,9/12/2016,10/11/2016,26,college,male,COLLECTION
347,1000,30,9/11/2016,11/9/2016,26,High School or Below,male,COLLECTION
348,800,15,9/11/2016,9/25/2016,46,High School or Below,male,COLLECTION
349,1000,30,9/11/2016,10/10/2016,36,High School or Below,male,COLLECTION
350,1000,15,9/11/2016,9/25/2016,38,Bachelor ,male,COLLECTION
351,1000,15,9/11/2016,10/25/2016,32,High School or Below,male,COLLECTION
352,1000,15,9/11/2016,9/25/2016,30,college,male,COLLECTION
353,800,15,9/11/2016,9/25/2016,35,High School or Below,male,COLLECTION
354,1000,30,9/11/2016,10/10/2016,29,college,female,COLLECTION
355,1000,30,9/11/2016,11/9/2016,26,college,male,COLLECTION
356,800,15,9/11/2016,9/25/2016,32,High School or Below,male,COLLECTION
357,1000,30,9/11/2016,10/10/2016,25,High School or Below,male,COLLECTION
358,800,15,9/12/2016,9/26/2016,39,college,male,COLLECTION
359,1000,30,9/12/2016,11/10/2016,28,college,male,COLLECTION
360,1000,30,9/12/2016,10/11/2016,26,college,male,COLLECTION
361,1000,30,9/12/2016,10/11/2016,32,High School or Below,male,PAIDOFF
362,1000,15,9/12/2016,9/26/2016,29,High School or Below,female,PAIDOFF
363,800,15,9/12/2016,9/26/2016,36,Bachelor ,male,PAIDOFF
364,800,15,9/12/2016,9/26/2016,30,High School or Below,female,PAIDOFF
365,1000,7,9/13/2016,9/19/2016,31,college,male,PAIDOFF
366,1000,30,9/13/2016,10/12/2016,19,High School or Below,female,PAIDOFF
367,800,15,9/13/2016,9/27/2016,26,college,male,PAIDOFF
368,800,15,9/13/2016,9/27/2016,34,High School or Below,male,PAIDOFF
369,1000,30,9/13/2016,10/12/2016,35,High School or Below,male,PAIDOFF
370,1000,15,9/13/2016,9/27/2016,35,Bachelor ,female,PAIDOFF
371,800,15,9/13/2016,9/27/2016,38,college,male,PAIDOFF
372,500,7,9/13/2016,9/19/2016,22,High School or Below,male,PAIDOFF
373,1000,30,9/13/2016,10/12/2016,32,college,male,PAIDOFF
374,1000,30,9/13/2016,10/12/2016,31,college,male,PAIDOFF
375,800,15,9/13/2016,9/27/2016,28,college,male,PAIDOFF
376,1000,15,9/13/2016,9/27/2016,37,college,female,PAIDOFF
377,1000,7,9/13/2016,9/19/2016,25,college,male,PAIDOFF
378,1000,30,9/13/2016,10/12/2016,19,High School or Below,male,PAIDOFF
