,Loan_ID,Gender,Married,Self_Employed,Applicant_Income,education,LoanAmount,Principal,Principal,terms,effective_date,due_date,age,loan_status
42,LP001106,male,Yes,No,2275,Bechalor,11,1000,11000,7,9/11/2016,9/24/2016,31,PAIDOFF
43,LP001109,male,Yes,No,1828,college,100,1000,100000,15,9/11/2016,9/25/2016,30,PAIDOFF
44,LP001112,female,Yes,No,3667,Bechalor,144,1000,144000,15,9/11/2016,9/25/2016,24,PAIDOFF
45,LP001114,male,No,No,4166,High School or Below,184,800,147200,7,9/11/2016,9/17/2016,35,PAIDOFF
46,LP001116,male,No,No,3748,High School or Below,110,1000,110000,30,9/11/2016,10/10/2016,22,PAIDOFF
47,LP001119,male,No,No,3600,college,80,1000,80000,30,9/11/2016,10/10/2016,32,PAIDOFF
49,LP001120,male,No,No,1800,High School or Below,47,800,37600,15,9/11/2016,9/25/2016,50,PAIDOFF
51,LP001123,female,Yes,No,2400,Bechalor,75,1000,75000,30,9/11/2016,10/10/2016,35,PAIDOFF
52,LP001131,female,Yes,No,3941,Bechalor,134,800,107200,15,9/11/2016,9/25/2016,35,PAIDOFF
53,LP001136,male,Yes,Yes,4695,High School or Below,96,1000,96000,30,9/11/2016,10/10/2016,34,PAIDOFF
54,LP001137,male,No,No,3410,High School or Below,88,1000,88000,30,9/11/2016,10/10/2016,21,PAIDOFF
55,LP001138,male,Yes,No,5649,college,44,1000,44000,15,9/11/2016,9/25/2016,25,PAIDOFF
56,LP001144,male,Yes,No,5821,High School or Below,144,1000,144000,30,9/11/2016,10/10/2016,27,PAIDOFF
57,LP001146,male,Yes,No,2645,Bechalor,120,1000,120000,30,9/11/2016,10/10/2016,26,PAIDOFF
58,LP001151,female,No,No,4000,High School or Below,144,800,115200,15,9/11/2016,9/25/2016,44,PAIDOFF
59,LP001155,male,Yes,No,1928,Master or Above,100,800,80000,15,9/11/2016,9/25/2016,39,PAIDOFF
60,LP001157,male,No,No,3086,Bechalor,120,1000,120000,30,9/11/2016,10/10/2016,34,PAIDOFF
62,LP001164,male,No,No,4230,High School or Below,112,1000,112000,30,9/11/2016,10/10/2016,34,PAIDOFF
63,LP001179,male,Yes,No,4616,college,134,1000,134000,30,9/11/2016,10/10/2016,45,PAIDOFF
65,LP001186,male,Yes,Yes,11500,college,286,900,257400,15,9/11/2016,9/25/2016,28,PAIDOFF
66,LP001194,male,Yes,No,2708,Bechalor,97,1000,97000,30,9/11/2016,10/10/2016,28,PAIDOFF
67,LP001195,male,Yes,No,2132,High School or Below,96,1000,96000,30,9/11/2016,10/10/2016,37,PAIDOFF
69,LP001197,male,Yes,No,3366,Bechalor,135,1000,135000,30,9/11/2016,10/10/2016,43,PAIDOFF
70,LP001198,male,Yes,No,8080,college,180,800,144000,15,9/11/2016,9/25/2016,29,PAIDOFF
71,LP001199,male,Yes,No,3357,High School or Below,144,800,115200,15,9/11/2016,9/25/2016,29,PAIDOFF
72,LP001205,female,Yes,No,2500,Bechalor,120,1000,120000,30,9/11/2016,10/10/2016,33,PAIDOFF
73,LP001206,male,Yes,No,3029,college,99,1000,99000,15,9/11/2016,9/25/2016,34,PAIDOFF
74,LP001207,male,Yes,Yes,2609,college,165,1000,165000,15,9/11/2016,9/25/2016,25,PAIDOFF
75,LP001213,male,Yes,No,4945,High School or Below,15,1000,15000,30,9/11/2016,10/10/2016,30,PAIDOFF
77,LP001222,male,No,No,4166,college,116,1000,116000,30,9/11/2016,10/10/2016,35,PAIDOFF
79,LP001225,female,Yes,No,5726,High School or Below,258,1000,258000,30,9/11/2016,10/10/2016,44,PAIDOFF
80,LP001228,male,No,No,3200,High School or Below,126,1000,126000,30,9/11/2016,10/10/2016,28,PAIDOFF
81,LP001233,male,Yes,No,10750,college,312,1000,312000,7,9/11/2016,9/17/2016,25,PAIDOFF
82,LP001238,male,Yes,Yes,7100,college,125,1000,125000,15,9/11/2016,9/25/2016,29,PAIDOFF
83,LP001241,male,No,No,4300,college,136,800,108800,15,9/11/2016,9/25/2016,33,PAIDOFF
86,LP001243,female,Yes,No,3208,High School or Below,172,1000,172000,30,9/11/2016,10/10/2016,24,PAIDOFF
87,LP001245,female,Yes,Yes,1875,college,97,1000,97000,30,9/11/2016,10/10/2016,27,PAIDOFF
89,LP001248,female,No,No,3500,High School or Below,81,800,64800,15,9/11/2016,9/25/2016,46,PAIDOFF
90,LP001250,female,Yes,No,4755,college,95,800,76000,15,9/11/2016,9/25/2016,34,PAIDOFF
92,LP001253,male,Yes,Yes,5266,High School or Below,187,800,149600,15,9/11/2016,9/25/2016,38,PAIDOFF
93,LP001255,male,No,No,3750,High School or Below,113,800,90400,15,9/11/2016,9/25/2016,27,PAIDOFF
94,LP001256,male,No,No,3750,High School or Below,176,1000,176000,30,9/11/2016,10/10/2016,33,PAIDOFF
95,LP001259,male,Yes,Yes,1000,college,110,1000,110000,30,9/11/2016,10/10/2016,36,PAIDOFF
97,LP001263,male,Yes,No,3167,college,180,1000,180000,30,9/11/2016,10/10/2016,34,PAIDOFF
98,LP001264,male,Yes,Yes,3333,High School or Below,130,1000,130000,30,9/11/2016,10/10/2016,22,PAIDOFF
99,LP001265,female,No,No,3846,Bechalor,111,1000,111000,30,9/11/2016,10/10/2016,31,PAIDOFF
101,LP001266,male,Yes,Yes,2395,college,100,800,80000,15,9/11/2016,9/25/2016,38,PAIDOFF
102,LP001267,male,Yes,No,1378,college,167,1000,167000,30,9/11/2016,10/10/2016,30,PAIDOFF
103,LP001273,male,Yes,No,6000,High School or Below,265,1000,265000,15,9/11/2016,9/25/2016,45,PAIDOFF
104,LP001275,male,Yes,No,3988,college,50,1000,50000,15,9/11/2016,9/25/2016,35,PAIDOFF
106,LP001279,male,No,No,2366,High School or Below,136,1000,136000,30,9/11/2016,10/10/2016,31,PAIDOFF
107,LP001280,male,Yes,No,3333,High School or Below,99,1000,99000,30,9/11/2016,10/10/2016,31,PAIDOFF
108,LP001282,male,Yes,No,2500,college,104,1000,104000,30,9/11/2016,10/10/2016,28,PAIDOFF
109,LP001289,male,No,No,8566,college,210,1000,210000,7,9/11/2016,9/24/2016,29,PAIDOFF
110,LP001310,male,Yes,No,5695,college,175,800,140000,15,9/11/2016,9/25/2016,29,PAIDOFF
111,LP001316,female,Yes,No,2958,college,131,1000,131000,30,9/11/2016,11/9/2016,27,PAIDOFF
112,LP001318,male,Yes,No,6250,college,188,1000,188000,30,9/11/2016,10/10/2016,27,PAIDOFF
113,LP001319,male,Yes,No,3273,college,81,1000,81000,30,9/11/2016,10/10/2016,33,PAIDOFF
114,LP001322,male,No,No,4133,college,122,1000,122000,30,9/11/2016,10/10/2016,28,PAIDOFF
115,LP001325,male,No,No,3620,High School or Below,25,1000,25000,15,9/11/2016,9/25/2016,25,PAIDOFF
116,LP001326,male,No,,6782,college,247,1000,247000,30,9/11/2016,10/10/2016,40,PAIDOFF
117,LP001327,male,Yes,No,2484,High School or Below,137,1000,137000,30,9/11/2016,10/10/2016,23,PAIDOFF
118,LP001333,male,Yes,No,1977,Bechalor,50,1000,50000,30,9/11/2016,10/10/2016,35,PAIDOFF
119,LP001334,male,Yes,No,4188,college,115,800,92000,15,9/11/2016,9/25/2016,24,PAIDOFF
120,LP001343,male,Yes,No,1759,college,131,1000,131000,30,9/11/2016,10/10/2016,34,PAIDOFF
121,LP001345,male,Yes,No,4288,High School or Below,133,1000,133000,30,9/11/2016,10/10/2016,22,PAIDOFF
122,LP001349,male,No,No,4843,college,151,1000,151000,15,9/11/2016,10/25/2016,20,PAIDOFF
123,LP001350,male,Yes,No,13650,college,185,1000,185000,15,9/11/2016,9/25/2016,23,PAIDOFF
124,LP001356,male,Yes,No,4652,college,230,1000,230000,30,9/11/2016,10/10/2016,33,PAIDOFF
125,LP001357,male,,No,3816,college,160,1000,160000,30,9/11/2016,10/10/2016,26,PAIDOFF
126,LP001367,male,Yes,No,3052,High School or Below,100,1000,100000,15,9/11/2016,9/25/2016,28,PAIDOFF
127,LP001369,male,Yes,No,11417,High School or Below,225,800,180000,15,9/11/2016,9/25/2016,43,PAIDOFF
128,LP001370,male,No,,7333,Bechalor,120,1000,120000,15,9/11/2016,9/25/2016,34,PAIDOFF
129,LP001379,male,Yes,No,3800,Bechalor,216,1000,216000,30,9/11/2016,10/10/2016,38,PAIDOFF
130,LP001384,male,Yes,No,2071,High School or Below,94,1000,94000,15,9/11/2016,9/25/2016,26,PAIDOFF
131,LP001385,male,No,No,5316,High School or Below,136,800,108800,15,9/11/2016,9/25/2016,43,PAIDOFF
132,LP001387,male,Yes,,2929,High School or Below,139,1000,139000,30,9/11/2016,10/10/2016,26,PAIDOFF
133,LP001391,female,Yes,No,3572,college,152,1000,152000,30,9/11/2016,10/10/2016,33,PAIDOFF
134,LP001392,male,No,Yes,7451,college,700,800,560000,15,9/11/2016,9/25/2016,24,PAIDOFF
135,LP001398,male,No,,5050,High School or Below,118,1000,118000,30,9/11/2016,10/10/2016,30,PAIDOFF
136,LP001401,female,Yes,No,14583,High School or Below,185,800,148000,15,9/11/2016,9/25/2016,32,PAIDOFF
137,LP001404,male,Yes,No,3167,college,154,1000,154000,15,9/11/2016,10/25/2016,22,PAIDOFF
138,LP001405,male,Yes,No,2214,High School or Below,85,1000,85000,15,9/11/2016,9/25/2016,47,PAIDOFF
139,LP001421,male,Yes,No,5568,High School or Below,175,1000,175000,30,9/11/2016,10/10/2016,20,PAIDOFF
140,LP001422,male,No,No,10408,High School or Below,259,1000,259000,30,9/11/2016,10/10/2016,28,PAIDOFF
141,LP001426,male,Yes,No,5667,college,180,800,144000,15,9/11/2016,9/25/2016,35,PAIDOFF
143,LP001430,female,No,No,4166,college,44,800,35200,15,9/11/2016,9/25/2016,33,PAIDOFF
144,LP001431,male,No,No,2137,High School or Below,137,1000,137000,30,9/11/2016,10/10/2016,30,PAIDOFF
145,LP001432,male,Yes,No,2957,college,81,1000,81000,15,9/11/2016,9/25/2016,31,PAIDOFF
146,LP001439,female,Yes,No,4300,college,194,1000,194000,30,9/11/2016,11/9/2016,26,PAIDOFF
148,LP001443,male,No,No,3692,Bechalor,93,1000,93000,15,9/12/2016,9/26/2016,26,PAIDOFF
149,LP001448,male,Yes,No,23803,Bechalor,370,800,296000,15,9/12/2016,9/26/2016,35,PAIDOFF
151,LP001449,male,No,No,3865,college,35,800,28000,15,9/12/2016,9/26/2016,23,PAIDOFF
152,LP001451,female,Yes,Yes,10513,college,160,500,80000,15,9/12/2016,9/26/2016,23,PAIDOFF
153,LP001465,male,Yes,No,6080,college,182,1000,182000,15,9/12/2016,9/26/2016,30,PAIDOFF
154,LP001469,male,No,Yes,20166,college,650,1000,650000,30,9/12/2016,10/11/2016,34,PAIDOFF
155,LP001473,female,No,No,2014,High School or Below,74,1000,74000,30,9/12/2016,10/11/2016,36,PAIDOFF
157,LP001478,male,No,No,2718,High School or Below,70,800,56000,15,9/12/2016,9/26/2016,29,PAIDOFF
158,LP001482,female,Yes,Yes,3459,college,25,1000,25000,15,9/12/2016,9/26/2016,28,PAIDOFF
159,LP001487,male,No,No,4895,High School or Below,102,1000,102000,30,9/12/2016,10/11/2016,27,PAIDOFF
160,LP001488,male,Yes,No,4000,High School or Below,290,1000,290000,15,9/12/2016,9/26/2016,24,PAIDOFF
161,LP001489,male,Yes,No,4583,Bechalor,84,800,67200,15,9/12/2016,9/26/2016,31,PAIDOFF
162,LP001491,male,Yes,Yes,3316,High School or Below,88,1000,88000,30,9/12/2016,10/11/2016,28,PAIDOFF
163,LP001492,female,No,No,14999,college,242,1000,242000,15,9/12/2016,9/26/2016,27,PAIDOFF
164,LP001493,male,Yes,No,4200,High School or Below,129,1000,129000,15,9/12/2016,9/26/2016,25,PAIDOFF
165,LP001497,male,Yes,No,5042,High School or Below,185,1000,185000,30,9/12/2016,11/10/2016,24,PAIDOFF
166,LP001498,male,No,No,5417,college,168,1000,168000,30,9/12/2016,10/11/2016,28,PAIDOFF
168,LP001504,male,No,Yes,6950,High School or Below,175,1000,175000,15,9/12/2016,9/26/2016,35,PAIDOFF
170,LP001507,male,Yes,No,2698,High School or Below,122,1000,122000,15,9/12/2016,9/26/2016,38,PAIDOFF
171,LP001508,male,Yes,No,11757,college,187,1000,187000,30,9/12/2016,10/11/2016,29,PAIDOFF
172,LP001514,male,Yes,No,2330,High School or Below,100,800,80000,15,9/12/2016,9/26/2016,35,PAIDOFF
173,LP001516,male,Yes,No,14866,college,70,1000,70000,30,9/12/2016,10/11/2016,24,PAIDOFF
174,LP001518,male,Yes,No,1538,High School or Below,30,800,24000,15,9/12/2016,9/26/2016,39,PAIDOFF
175,LP001519,male,No,No,10000,college,225,800,180000,15,9/12/2016,9/26/2016,25,PAIDOFF
176,LP001520,male,Yes,No,4860,High School or Below,125,1000,125000,30,9/12/2016,10/11/2016,38,PAIDOFF
177,LP001528,male,No,No,6277,college,118,1000,118000,30,9/12/2016,10/11/2016,30,PAIDOFF
178,LP001529,male,Yes,Yes,2577,High School or Below,152,1000,152000,30,9/12/2016,10/11/2016,21,PAIDOFF
180,LP001531,female,No,No,9166,High School or Below,244,1000,244000,15,9/12/2016,9/26/2016,31,PAIDOFF
181,LP001532,male,Yes,No,2281,High School or Below,113,300,33900,7,9/12/2016,9/18/2016,29,PAIDOFF
182,LP001535,male,No,No,3254,High School or Below,50,1000,50000,30,9/12/2016,10/11/2016,35,PAIDOFF
183,LP001536,male,Yes,No,39999,High School or Below,600,800,480000,15,9/12/2016,9/26/2016,30,PAIDOFF
184,LP001541,male,Yes,No,6000,High School or Below,160,1000,160000,30,9/12/2016,10/11/2016,27,PAIDOFF
185,LP001543,female,Yes,No,9538,High School or Below,187,1000,187000,30,9/12/2016,10/11/2016,31,PAIDOFF
187,LP001546,male,No,,2980,High School or Below,120,1000,120000,15,9/12/2016,9/26/2016,34,PAIDOFF
188,LP001552,male,Yes,No,4583,college,255,800,204000,15,9/12/2016,9/26/2016,28,PAIDOFF
189,LP001560,male,Yes,No,1863,college,98,800,78400,15,9/12/2016,9/26/2016,42,PAIDOFF
190,LP001562,male,Yes,No,7933,college,275,1000,275000,30,9/12/2016,10/11/2016,32,PAIDOFF
191,LP001565,male,Yes,No,3089,High School or Below,121,1000,121000,30,9/12/2016,10/11/2016,30,PAIDOFF
192,LP001570,female,Yes,No,4167,High School or Below,158,1000,158000,15,9/12/2016,9/26/2016,25,PAIDOFF
193,LP001572,female,Yes,No,9323,High School or Below,75,1000,75000,30,9/12/2016,10/11/2016,27,PAIDOFF
194,LP001574,male,Yes,No,3707,college,182,800,145600,15,9/12/2016,9/26/2016,21,PAIDOFF
195,LP001577,male,Yes,No,4583,college,112,1000,112000,30,9/12/2016,10/11/2016,24,PAIDOFF
197,LP001578,male,Yes,No,2439,college,129,1000,129000,15,9/12/2016,9/26/2016,40,PAIDOFF
198,LP001579,male,No,No,2237,High School or Below,63,1000,63000,30,9/12/2016,10/11/2016,29,PAIDOFF
200,LP001580,male,Yes,No,8000,college,200,1000,200000,15,9/12/2016,9/26/2016,30,PAIDOFF
201,LP001581,female,Yes,,1820,High School or Below,95,1000,95000,30,9/12/2016,10/11/2016,26,PAIDOFF
203,LP001585,male,Yes,No,51763,college,700,800,560000,15,9/12/2016,9/26/2016,27,PAIDOFF
204,LP001586,male,Yes,No,3522,college,81,1000,81000,30,9/12/2016,10/11/2016,20,PAIDOFF
205,LP001594,female,Yes,No,5708,Bechalor,187,1000,187000,7,9/12/2016,9/18/2016,26,PAIDOFF
206,LP001603,male,Yes,Yes,4344,college,87,1000,87000,30,9/12/2016,11/10/2016,26,PAIDOFF
207,LP001606,male,Yes,No,3497,college,116,1000,116000,30,9/12/2016,10/11/2016,27,PAIDOFF
208,LP001608,male,Yes,No,2045,High School or Below,101,300,30300,7,9/12/2016,9/18/2016,23,PAIDOFF
209,LP001610,male,Yes,No,5516,High School or Below,495,1000,495000,30,9/12/2016,10/11/2016,39,PAIDOFF
210,LP001616,male,Yes,No,3750,High School or Below,116,1000,116000,15,9/12/2016,9/26/2016,27,PAIDOFF
211,LP001630,male,No,No,2333,High School or Below,102,1000,102000,30,9/12/2016,10/11/2016,30,PAIDOFF
212,LP001633,female,Yes,No,6400,High School or Below,180,1000,180000,30,9/12/2016,10/11/2016,33,PAIDOFF
213,LP001634,male,No,No,1916,High School or Below,67,1000,67000,30,9/12/2016,10/11/2016,27,PAIDOFF
214,LP001636,male,Yes,No,4600,High School or Below,73,1000,73000,30,9/12/2016,10/11/2016,35,PAIDOFF
215,LP001637,female,Yes,No,33846,college,260,1000,260000,30,9/12/2016,11/10/2016,29,PAIDOFF
216,LP001639,male,Yes,No,3625,High School or Below,108,1000,108000,15,9/12/2016,9/26/2016,50,PAIDOFF
217,LP001640,female,Yes,Yes,39147,High School or Below,120,800,96000,15,9/12/2016,9/26/2016,31,PAIDOFF
218,LP001641,male,Yes,Yes,2178,High School or Below,66,1000,66000,15,9/12/2016,9/26/2016,31,PAIDOFF
219,LP001643,male,Yes,No,2383,High School or Below,58,1000,58000,30,9/12/2016,10/11/2016,29,PAIDOFF
220,LP001644,male,Yes,Yes,674,college,168,1000,168000,15,9/12/2016,9/26/2016,35,PAIDOFF
221,LP001647,male,Yes,No,9328,college,188,1000,188000,30,9/12/2016,10/11/2016,39,PAIDOFF
223,LP001653,male,No,No,4885,High School or Below,48,1000,48000,15,9/12/2016,9/26/2016,30,PAIDOFF
224,LP001656,male,No,No,12000,Bechalor,164,1000,164000,30,9/12/2016,10/11/2016,33,PAIDOFF
225,LP001657,male,Yes,No,6033,High School or Below,160,1000,160000,30,9/12/2016,10/11/2016,26,PAIDOFF
226,LP001658,male,No,No,3858,High School or Below,76,1000,76000,15,9/12/2016,9/26/2016,25,PAIDOFF
227,LP001664,male,No,No,4191,Bechalor,120,800,96000,15,9/12/2016,9/26/2016,37,PAIDOFF
228,LP001665,male,Yes,No,3125,High School or Below,170,800,136000,15,9/12/2016,9/26/2016,26,PAIDOFF
229,LP001666,male,No,No,8333,college,187,800,149600,15,9/12/2016,9/26/2016,26,PAIDOFF
230,LP001669,male,No,No,1907,college,120,1000,120000,15,9/12/2016,10/26/2016,27,PAIDOFF
231,LP001671,female,Yes,No,3416,college,113,1000,113000,7,9/12/2016,9/25/2016,34,PAIDOFF
232,LP001673,male,No,Yes,11000,college,83,1000,83000,30,9/12/2016,10/11/2016,37,PAIDOFF
233,LP001674,male,Yes,No,2600,High School or Below,90,1000,90000,30,9/12/2016,10/11/2016,36,PAIDOFF
234,LP001677,male,No,No,4923,High School or Below,166,800,132800,15,9/12/2016,9/26/2016,33,PAIDOFF
235,LP001682,male,Yes,No,3992,High School or Below,,1000,0,30,9/12/2016,10/11/2016,30,PAIDOFF
237,LP001688,male,Yes,No,3500,High School or Below,135,800,108000,15,9/12/2016,9/26/2016,36,PAIDOFF
238,LP001691,male,Yes,No,3917,college,124,1000,124000,15,9/12/2016,10/11/2016,29,PAIDOFF
240,LP001692,male,No,No,4408,High School or Below,120,1000,120000,30,9/12/2016,10/11/2016,32,PAIDOFF
241,LP001693,female,No,No,3244,High School or Below,80,1000,80000,15,9/12/2016,9/26/2016,29,PAIDOFF
242,LP001698,male,No,No,3975,Bechalor,55,800,44000,15,9/12/2016,9/26/2016,36,PAIDOFF
243,LP001699,female,No,No,2479,High School or Below,59,800,47200,15,9/12/2016,9/26/2016,30,PAIDOFF
244,LP001702,male,No,No,3418,college,127,1000,127000,7,9/13/2016,9/19/2016,31,PAIDOFF
245,LP001708,female,No,No,10000,High School or Below,214,1000,214000,30,9/13/2016,10/12/2016,19,PAIDOFF
246,LP001711,male,Yes,No,3430,college,128,800,102400,15,9/13/2016,9/27/2016,26,PAIDOFF
247,LP001713,male,Yes,Yes,7787,High School or Below,240,800,192000,15,9/13/2016,9/27/2016,34,PAIDOFF
248,LP001715,male,Yes,Yes,5703,High School or Below,130,1000,130000,30,9/13/2016,10/12/2016,35,PAIDOFF
249,LP001716,female,Yes,No,3173,Bechalor,137,1000,137000,15,9/13/2016,9/27/2016,35,PAIDOFF
250,LP001720,male,Yes,No,3850,college,100,800,80000,15,9/13/2016,9/27/2016,38,PAIDOFF
253,LP001722,male,Yes,No,150,High School or Below,135,500,67500,7,9/13/2016,9/19/2016,22,PAIDOFF
254,LP001726,male,Yes,No,3727,college,131,1000,131000,30,9/13/2016,10/12/2016,32,PAIDOFF
255,LP001732,male,Yes,,5000,college,72,1000,72000,30,9/13/2016,10/12/2016,31,PAIDOFF
256,LP001734,male,Yes,No,4283,college,127,800,101600,15,9/13/2016,9/27/2016,28,PAIDOFF
257,LP001736,female,Yes,No,2221,college,60,1000,60000,15,9/13/2016,9/27/2016,37,PAIDOFF
258,LP001743,male,Yes,No,4009,college,116,1000,116000,7,9/13/2016,9/19/2016,25,PAIDOFF
259,LP001744,male,No,No,2971,High School or Below,144,1000,144000,30,9/13/2016,10/12/2016,19,PAIDOFF
260,LP001749,male,Yes,No,7578,college,175,800,140000,15,9/13/2016,9/27/2016,51,PAIDOFF
261,LP001750,male,Yes,No,6250,High School or Below,128,1000,128000,15,9/13/2016,9/27/2016,29,PAIDOFF
262,LP001751,female,Yes,No,3250,college,170,800,136000,30,9/13/2016,10/12/2016,23,PAIDOFF
263,LP001754,male,Yes,Yes,4735,High School or Below,138,1000,138000,15,9/13/2016,9/27/2016,30,PAIDOFF
265,LP001758,female,Yes,No,6250,Bechalor,210,1000,210000,15,9/13/2016,9/27/2016,34,PAIDOFF
266,LP001760,female,,No,4758,Bechalor,158,800,126400,15,9/13/2016,9/27/2016,31,PAIDOFF
267,LP001761,male,No,Yes,6400,High School or Below,200,1000,200000,15,9/14/2016,9/28/2016,24,PAIDOFF
268,LP001765,male,Yes,No,2491,High School or Below,104,1000,104000,30,9/14/2016,10/13/2016,42,PAIDOFF
269,LP001768,female,Yes,,3716,college,42,800,33600,30,9/14/2016,10/13/2016,40,PAIDOFF
270,LP001770,male,No,No,3189,High School or Below,120,1000,120000,30,9/14/2016,10/13/2016,29,PAIDOFF
271,LP001776,female,No,No,8333,college,280,1000,280000,30,9/14/2016,10/13/2016,32,PAIDOFF
272,LP001778,male,Yes,No,3155,college,140,1000,140000,30,9/14/2016,11/12/2016,28,PAIDOFF
273,LP001784,male,Yes,No,5500,High School or Below,170,1000,170000,30,9/14/2016,10/13/2016,35,PAIDOFF
274,LP001786,male,Yes,,5746,Bechalor,255,1000,255000,30,9/14/2016,10/13/2016,30,PAIDOFF
275,LP001788,male,No,Yes,3463,college,122,800,97600,15,9/14/2016,9/28/2016,44,PAIDOFF
276,LP001790,male,No,No,3812,High School or Below,112,800,89600,15,9/14/2016,9/28/2016,37,PAIDOFF
277,LP001792,male,Yes,No,3315,college,96,1000,96000,30,9/14/2016,10/13/2016,31,PAIDOFF
278,LP001798,male,Yes,No,5819,college,120,800,96000,15,9/14/2016,9/28/2016,36,PAIDOFF
279,LP001800,male,Yes,No,2510,college,140,800,112000,30,9/14/2016,10/13/2016,31,PAIDOFF
280,LP001806,male,No,No,2965,High School or Below,155,800,124000,15,9/14/2016,9/28/2016,42,PAIDOFF
281,LP001807,male,Yes,Yes,6250,Bechalor,108,1000,108000,15,9/14/2016,9/28/2016,28,PAIDOFF
282,LP001811,male,Yes,No,3406,college,123,1000,123000,30,9/14/2016,10/13/2016,30,PAIDOFF
283,LP001813,male,No,Yes,6050,High School or Below,120,1000,120000,30,9/14/2016,10/13/2016,30,PAIDOFF
284,LP001814,male,Yes,No,9703,Bechalor,112,1000,112000,15,9/14/2016,9/28/2016,24,PAIDOFF
285,LP001819,male,Yes,No,6608,Bechalor,137,1000,137000,30,9/14/2016,11/12/2016,34,PAIDOFF
286,LP001824,male,Yes,No,2882,college,123,1000,123000,30,9/14/2016,10/13/2016,29,PAIDOFF
